<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,1,12/23/21,08:43:00,347.3900000,347.4000000,347.2000000,347.3000000,55610
GAZP,1,12/23/21,08:44:00,347.3000000,347.3900000,347.2000000,347.2700000,34450
GAZP,1,12/23/21,08:45:00,347.3900000,347.4000000,347.3000000,347.4000000,990
GAZP,1,12/23/21,08:46:00,347.3000000,347.4000000,347.1600000,347.1700000,9860
GAZP,1,12/23/21,08:47:00,347.1800000,347.3000000,346.7700000,346.8200000,149170
GAZP,1,12/23/21,08:48:00,346.8200000,346.9000000,346.7700000,346.9000000,56780
GAZP,1,12/23/21,08:49:00,346.8000000,347.0000000,346.8000000,346.9500000,15110
GAZP,1,12/23/21,08:50:00,346.9500000,347.0000000,346.7100000,346.9600000,21760
GAZP,1,12/23/21,08:51:00,347.0000000,347.1000000,346.7700000,346.9100000,18550
GAZP,1,12/23/21,08:52:00,346.9800000,347.1000000,346.9000000,347.1000000,15610
GAZP,1,12/23/21,08:53:00,347.1000000,347.1000000,346.9100000,347.0000000,11210
GAZP,1,12/23/21,08:54:00,346.9500000,347.0700000,346.9000000,347.0000000,2610
GAZP,1,12/23/21,08:55:00,347.0700000,347.0700000,346.7600000,346.7600000,106870
GAZP,1,12/23/21,08:56:00,346.7600000,346.9100000,346.7100000,346.9000000,11160
GAZP,1,12/23/21,08:57:00,346.9100000,346.9200000,346.8100000,346.9000000,7810
GAZP,1,12/23/21,08:58:00,346.8700000,346.9000000,346.8000000,346.8000000,6430
GAZP,1,12/23/21,08:59:00,346.8000000,346.9000000,346.6600000,346.8000000,8000
GAZP,1,12/23/21,09:00:00,346.7500000,346.8900000,346.5000000,346.5500000,56040
GAZP,1,12/23/21,09:01:00,346.5500000,346.7900000,346.5000000,346.6900000,14960
GAZP,1,12/23/21,09:02:00,346.5300000,346.7700000,346.5000000,346.6000000,11260
GAZP,1,12/23/21,09:03:00,346.7700000,347.1500000,346.6300000,347.1500000,57010
GAZP,1,12/23/21,09:04:00,347.1400000,347.2900000,346.9500000,347.2700000,8400
GAZP,1,12/23/21,09:05:00,347.1900000,347.3000000,347.0700000,347.3000000,15530
GAZP,1,12/23/21,09:06:00,347.3000000,347.3900000,347.1000000,347.1500000,92060
GAZP,1,12/23/21,09:07:00,347.1600000,347.1600000,346.8000000,346.9700000,30810
GAZP,1,12/23/21,09:08:00,347.0400000,347.1300000,346.8000000,346.8100000,26390
GAZP,1,12/23/21,09:09:00,346.9800000,347.0700000,346.8000000,346.8600000,10070
GAZP,1,12/23/21,09:10:00,347.0000000,347.1700000,347.0000000,347.1600000,10490
GAZP,1,12/23/21,09:11:00,347.1400000,347.1400000,346.8200000,346.9000000,24870
GAZP,1,12/23/21,09:12:00,346.8700000,347.0500000,346.8000000,346.9800000,27600
GAZP,1,12/23/21,09:13:00,346.9800000,347.2700000,346.8300000,347.2500000,5400
GAZP,1,12/23/21,09:14:00,347.2500000,347.2600000,347.0200000,347.0200000,11080
GAZP,1,12/23/21,09:15:00,347.0600000,347.2200000,347.0200000,347.0800000,7220
GAZP,1,12/23/21,09:16:00,347.2200000,347.3600000,347.0800000,347.1100000,33010
GAZP,1,12/23/21,09:17:00,347.3500000,347.3500000,347.0200000,347.0200000,5270
GAZP,1,12/23/21,09:18:00,347.1400000,347.3300000,347.0000000,347.0500000,17730
GAZP,1,12/23/21,09:19:00,347.2200000,347.2200000,346.9500000,346.9800000,5550
