Timestamp,Price
2021-12-23 07:01:00,345.83
2021-12-23 07:02:00,345.56
2021-12-23 07:03:00,346.53
2021-12-23 07:04:00,346.75
2021-12-23 07:05:00,347.04
2021-12-23 07:06:00,347.11
2021-12-23 07:07:00,346.7
2021-12-23 07:08:00,346.65
2021-12-23 07:09:00,346.7
2021-12-23 07:10:00,346.96
2021-12-23 07:11:00,346.9
2021-12-23 07:12:00,346.7
2021-12-23 07:13:00,346.8
2021-12-23 07:14:00,347.0
2021-12-23 07:15:00,346.69
2021-12-23 07:16:00,346.71
2021-12-23 07:17:00,346.78
2021-12-23 07:18:00,346.89
2021-12-23 07:19:00,346.89
2021-12-23 07:20:00,347.25
2021-12-23 07:21:00,347.5
2021-12-23 07:22:00,347.5
2021-12-23 07:23:00,347.97
2021-12-23 07:24:00,347.92
2021-12-23 07:25:00,347.99
2021-12-23 07:26:00,347.71
2021-12-23 07:27:00,347.79
2021-12-23 07:28:00,347.98
2021-12-23 07:29:00,348.11
2021-12-23 07:30:00,348.2
2021-12-23 07:31:00,348.0
2021-12-23 07:32:00,347.62
2021-12-23 07:33:00,347.77
2021-12-23 07:34:00,347.94
2021-12-23 07:35:00,347.81
2021-12-23 07:36:00,347.74
2021-12-23 07:37:00,347.4
2021-12-23 07:38:00,347.28
2021-12-23 07:39:00,347.1
2021-12-23 07:40:00,347.2
2021-12-23 07:41:00,347.22
2021-12-23 07:42:00,347.2
2021-12-23 07:43:00,347.39
2021-12-23 07:44:00,347.66
2021-12-23 07:45:00,347.6
2021-12-23 07:46:00,347.7
2021-12-23 07:47:00,347.63
2021-12-23 07:48:00,347.31
2021-12-23 07:49:00,347.31
2021-12-23 07:50:00,347.16
2021-12-23 07:51:00,347.39
2021-12-23 07:52:00,347.22
2021-12-23 07:53:00,347.23
2021-12-23 07:54:00,347.21
2021-12-23 07:55:00,347.25
2021-12-23 07:56:00,347.25
2021-12-23 07:57:00,347.38
2021-12-23 07:58:00,347.63
2021-12-23 07:59:00,347.68
2021-12-23 08:00:00,347.8
2021-12-23 08:01:00,347.81
2021-12-23 08:02:00,347.8
2021-12-23 08:03:00,347.6
